1,2007,3130,0,RR1,67,69.3,NULL,NULL,0,1
1,2007,3130,1,RR1,67,80.4,NULL,NULL,0,1
1,2007,3210,0,RR1,67,50.7,129,NULL,0,1
1,2007,3210,1,RR1,67,55.9,130,NULL,0,1
1,2007,3240,0,RR1,67,48.7,NULL,NULL,0,1
1,2007,3240,1,RR1,67,50.8,NULL,NULL,0,1
1,2007,3310,0,RR1,67,72.6,131,NULL,0,1
1,2007,3310,1,RR1,67,71.5,133,NULL,0,1
1,2007,3370,0,RR1,67,57,NULL,NULL,0,1
1,2007,3370,1,RR1,67,57,NULL,NULL,0,1
1,2007,3490,0,RR1,67,54.5,134,NULL,0,1
5,2005,5220,0,RR1,194,64.9,131,NULL,0,1
7,2007,5240,0,RR1,257,42.4,131,NULL,0,1
7,2007,5240,1,RR1,257,43.6,NULL,NULL,0,1
7,2007,6203,0,RR1,257,66.7,NULL,NULL,0,1
7,2007,6203,1,RR1,257,61.6,NULL,NULL,0,1
7,2007,6210,0,RR1,257,65.3,NULL,NULL,0,1
7,2007,6210,1,RR1,257,64.1,154,NULL,0,1
7,2007,6210,2,RR1,257,66.6,NULL,NULL,0,1
7,2007,7403,0,RR1,257,66.5,NULL,NULL,0,1
7,2007,7403,1,RR1,257,65.2,NULL,NULL,0,1
13,2002,5240,0,RR1,486,60.7,146.6652,NULL,0,1
13,2002,6210,0,RR1,486,54.8,149,NULL,0,1
13,2002,6230,0,RR1,486,94.9,NULL,NULL,0,1
13,2002,6530,0,RR1,486,38.4,144,NULL,0,1
15,2007,1230,0,RR1,583,68.1,NULL,NULL,0,1
15,2007,1250,0,RR1,583,69.3,137,NULL,0,1
15,2007,1250,1,RR1,583,64.8,135,NULL,0,1
15,2007,2210,0,RR1,583,64.8,NULL,NULL,0,1
15,2007,2230,0,RR1,583,62.2,NULL,NULL,0,1
15,2007,3210,0,RR1,583,40.4,113,NULL,0,1
15,2007,3210,1,RR1,583,36.3,113,NULL,0,1
20,2008,2200,0,RR1,734,67.4,NULL,NULL,0,1
20,2008,2200,0,RR1,748,72.6,NULL,NULL,0,1
20,2008,2200,0,RR1,756,69.5,NULL,NULL,0,1
20,2008,2200,1,RR1,734,52.9,NULL,NULL,0,1
20,2008,2200,1,RR1,748,69.5,NULL,NULL,0,1
20,2008,2200,1,RR1,756,66.4,NULL,NULL,0,1
20,2008,2250,0,RR1,734,50.3,NULL,NULL,0,1
20,2008,2250,0,RR1,748,50.3,NULL,NULL,0,1
20,2008,2250,0,RR1,756,57,NULL,NULL,0,1
20,2008,2290,0,RR1,734,44.7,130,NULL,0,1
20,2008,2290,0,RR1,748,58.1,130,NULL,0,1
20,2008,2290,0,RR1,756,48,130,NULL,0,1
20,2008,2290,1,RR1,734,42.4,125,NULL,0,1
20,2008,2290,1,RR1,748,41.3,131,NULL,0,1
20,2008,2290,1,RR1,756,50.3,125,NULL,0,1
24,2008,2310,0,RR1,897,53.6,NULL,NULL,0,1
24,2008,2310,1,RR1,897,57,NULL,NULL,0,1
24,2008,2420,0,RR1,897,63.5,NULL,NULL,0,1
24,2008,3120,0,RR1,897,82.7,NULL,NULL,0,1
24,2008,3120,1,RR1,897,81.5,NULL,NULL,0,1
24,2008,3210,0,RR1,897,69.8,144,NULL,0,1
24,2008,3210,1,RR1,897,62.5,144,NULL,0,1
24,2008,3240,0,RR1,897,62.2,NULL,NULL,0,1
24,2008,3240,1,RR1,897,58.1,NULL,NULL,0,1
37,2003,1250,0,conv,1357,51,130.2718,NULL,0,1
37,2003,1520,0,conv,1357,64.9,131.4061,NULL,0,1
37,2003,2010,0,conv,1357,50.8,121.5,NULL,0,1
37,2003,3210,0,conv,1357,48.9,122.7404,NULL,0,1
45,2005,2270,0,RR1,1664,64.6,NULL,NULL,0,1
45,2005,2292,0,RR1,1664,63.1,134,NULL,0,1
53,2003,3210,0,RR1,1961,61.4,145.2043,NULL,0,1
53,2003,3210,0,RR1,1962,55.9,142.6731,NULL,0,1
53,2003,3210,0,RR1,1971,59.8,143.7043,NULL,0,1
53,2003,3210,0,RR1,1973,55.9,144.1634,NULL,0,1
53,2003,3310,0,RR1,1961,66.7,154.0651,NULL,0,1
53,2003,3310,0,RR1,1962,57.2,149.4638,NULL,0,1
53,2003,3310,0,RR1,1971,66.3,149.1087,NULL,0,1
53,2003,3310,0,RR1,1973,62.2,155.1812,NULL,0,1
53,2003,4310,0,RR1,1961,64.8,131.0611,NULL,0,1
53,2003,4310,0,RR1,1962,62.5,127.5917,NULL,0,1
53,2003,4310,0,RR1,1971,49.1,129.6834,NULL,0,1
53,2003,4310,0,RR1,1973,55.8,129.8973,NULL,0,1
53,2003,4330,0,RR1,1961,30.4,NULL,NULL,0,1
53,2003,4330,0,RR1,1962,41.6,NULL,NULL,0,1
53,2003,4330,0,RR1,1971,33.1,NULL,NULL,0,1
53,2003,4330,0,RR1,1973,32.4,NULL,NULL,0,1
53,2003,5210,0,RR1,1961,42.7,NULL,NULL,0,1
53,2003,5210,0,RR1,1962,49.5,NULL,NULL,0,1
53,2003,5210,0,RR1,1971,48.1,NULL,NULL,0,1
53,2003,5210,0,RR1,1973,37.4,NULL,NULL,0,1
53,2003,5240,0,RR1,1961,41.7,119.4725,NULL,0,1
53,2003,5240,0,RR1,1962,50.1,119.5,NULL,0,1
53,2003,5240,0,RR1,1971,45.7,117.4084,NULL,0,1
53,2003,5240,0,RR1,1973,57.1,124.8809,NULL,0,1
55,2005,3330,0,conv,2066,51.5,NULL,NULL,0,1
55,2005,3370,0,conv,2066,50.1,129,NULL,0,1
55,2005,3370,1,conv,2066,53.7,129,NULL,0,1
55,2005,3380,0,conv,2066,52.6,NULL,NULL,0,1
67,2006,5240,0,RR1,2505,68.2,143,NULL,0,1
80,2006,6210,0,conv,2983,45.5,146,NULL,0,1
81,2008,140,0,RR1,3004,40.9,NULL,NULL,0,1
81,2008,1110,0,RR1,3004,46.9,123,NULL,0,1
81,2008,1110,1,RR1,3004,48,123,NULL,0,1
81,2008,1120,0,RR1,3004,41.3,NULL,NULL,0,1
81,2008,1210,0,RR1,3004,48,NULL,NULL,0,1
81,2008,1220,0,RR1,3004,32.4,129,NULL,0,1
81,2008,1250,0,RR1,3004,52.5,130,NULL,0,1
81,2008,1250,1,RR1,3004,59.2,131,NULL,0,1
81,2008,1270,0,RR1,3004,49.1,NULL,NULL,0,1
81,2008,1520,0,RR1,3004,43.6,NULL,NULL,0,1
81,2008,1520,1,RR1,3004,45.5,NULL,NULL,0,1
81,2008,1550,0,RR1,3004,56.1,NULL,NULL,0,1
86,2005,2290,0,RR1,3196,51,137,NULL,0,1
86,2005,2290,1,RR1,3196,59.1,137,NULL,0,1
86,2005,2530,0,RR1,3196,61.7,134,NULL,0,1
86,2005,2530,1,RR1,3196,65.3,133,NULL,0,1
86,2005,3210,0,RR1,3196,57,131,NULL,0,1
86,2005,3210,1,RR1,3196,60.3,130,NULL,0,1
